result_type,fold,k,model,accuracy,macro_f1,mae
cv_fold,2,3,random_forest_cls,0.4652714139399493,0.36597554009940525,0.9453937793110884
cv_fold,2,3,hist_gradient_boosting,0.5092852137351086,0.31487884876110905,0.94878982265107
cv_fold,2,3,bagging_linear,0.5031265160907767,0.29209142358088586,0.9802032235459005
cv_fold,2,3,stacking_lsvc_logreg_rf,0.5073446175408334,0.3116486533016561,0.9541129858228667
cv_fold,2,3,ridge_regression_round,0.31232817637863186,0.2608618760120687,0.9538973640235028
cv_fold,2,3,ordinal_logistic,0.49973047275079513,0.3144259301374803,0.9739097622769662
cv_fold,2,3,xgboost_cls,0.5084092501751927,0.31196504430840083,0.9510403751819309
cv_fold,2,5,multinomial_logreg,0.5023044579807019,0.3097989578268483,0.9822785833647781
cv_fold,2,5,random_forest_cls,0.4832758341868363,0.3860430193277389,0.8902754568486874
cv_fold,2,5,hist_gradient_boosting,0.5196889655544176,0.33372952156312224,0.90143388496577
cv_fold,2,5,bagging_linear,0.5024392216053043,0.30883013067101767,0.9827367796884265
cv_fold,2,5,stacking_lsvc_logreg_rf,0.5187321438197402,0.33048301217657206,0.9045604010565468
cv_fold,2,5,ridge_regression_round,0.31172174006792086,0.26064122845069077,0.956660018327853
cv_fold,2,5,ordinal_logistic,0.49880060374103824,0.31833216518779855,0.9808635653064525
cv_fold,2,5,xgboost_cls,0.5181796129588702,0.3290089522074716,0.9097218478788206
cv_fold,2,8,multinomial_logreg,0.5205784054767937,0.3076266053757026,0.9208263705460622
cv_fold,2,8,random_forest_cls,0.5092986900975689,0.40385431404616556,0.8066007223330278
cv_fold,2,8,hist_gradient_boosting,0.5375316694517815,0.35456693917753335,0.8228262627351626
cv_fold,2,8,bagging_linear,0.5202145436903671,0.305680872365898,0.9218505740930408
cv_fold,2,8,stacking_lsvc_logreg_rf,0.5353484987332219,0.3512761229942269,0.8287154331302895
cv_fold,2,8,ridge_regression_round,0.3285402404183063,0.2761464850180048,0.9158940218856126
cv_fold,2,8,ordinal_logistic,0.5168858821626866,0.32620295676174055,0.9119050185973802
cv_fold,2,8,xgboost_cls,0.5352137351086195,0.3439847704846851,0.840197293946418
cv_fold,2,10,multinomial_logreg,0.5203493073149695,0.31176976785790034,0.9198830251738451
cv_fold,2,10,random_forest_cls,0.5141906096706377,0.3997430571784867,0.8038111153037573
cv_fold,2,10,hist_gradient_boosting,0.5396744110829604,0.3616892312708012,0.8169505687024958
cv_fold,2,10,bagging_linear,0.5204032127648105,0.3099593497647354,0.9211767559700286
cv_fold,2,10,stacking_lsvc_logreg_rf,0.5363592259177403,0.35558380830011477,0.8273273677968843
cv_fold,2,10,ridge_regression_round,0.3285671931432268,0.27583304022621224,0.9159883564228344
cv_fold,2,10,ordinal_logistic,0.5165085440137998,0.3292594301385584,0.912282356746267
cv_fold,2,10,xgboost_cls,0.5388793056978061,0.35205920865399937,0.8313433238100372
cv_fold,3,3,multinomial_logreg,0.4886124737210932,0.2971159654561929,1.0317637863187967
cv_fold,3,3,random_forest_cls,0.45711821465150126,0.37016108407383574,0.9471187537059996
cv_fold,3,3,hist_gradient_boosting,0.4999326181876988,0.31364744265319044,0.9740040968141879
cv_fold,3,3,bagging_linear,0.48901676459490057,0.2943618971919298,1.033205757102043
cv_fold,3,3,stacking_lsvc_logreg_rf,0.49871974556627674,0.3123683575088013,0.9784512964260687
cv_fold,3,3,ridge_regression_round,0.3078135949544499,0.260271450043534,0.9708371516360303
cv_fold,3,3,ordinal_logistic,0.4861732521157889,0.3052637682502307,1.03028138644817
cv_fold,3,3,xgboost_cls,0.4992722764271468,0.315052817342007,0.973734569564983
cv_fold,3,5,multinomial_logreg,0.4883429464718883,0.30370210500086664,1.025497277774783
cv_fold,3,5,random_forest_cls,0.4718344024580885,0.38374860273916866,0.9004231577812517
cv_fold,3,5,hist_gradient_boosting,0.5054444504339388,0.33246036312178084,0.9353269365532856
cv_fold,3,5,bagging_linear,0.4886124737210932,0.3026875039580724,1.0256724704867661
cv_fold,3,5,stacking_lsvc_logreg_rf,0.5080049593013853,0.33152712906411336,0.9312570750902917
cv_fold,3,5,ridge_regression_round,0.3082178858282572,0.2603519418569126,0.9695838499272277
cv_fold,3,5,ordinal_logistic,0.48506819039404886,0.31335405216863216,1.0261306668104144
cv_fold,3,5,xgboost_cls,0.503746428763948,0.33089555528784526,0.9461215028839416
cv_fold,3,8,multinomial_logreg,0.505619643145922,0.3091109180716143,0.9635868686324187
cv_fold,3,8,random_forest_cls,0.4974933965823945,0.40048725626282,0.830507789337502
